dataset_id,version,timestamp,model_name,composite_score,cv_score,test_score,train_score,f1_score,roc_auc,rmse,mae,cv_std,overfit_gap,overfit_penalty,train_set_size,test_set_size,best_params
unknown,v3,2026-03-22T05:30:13.691198+00:00,random_forest,0.5544,0.593,0.5463,0.6438,,,3900721.4825,2671376.8764,0.053,0.0976,0.0,2975,744,"{""n_estimators"": 300, ""min_samples_leaf"": 3, ""min_impurity_decrease"": 0.001, ""max_features"": ""log2"", ""max_depth"": null}"
unknown,v3,2026-03-22T05:30:13.691198+00:00,knn,0.5275,0.5467,0.5362,0.6181,,,3943777.3638,2587289.9886,0.0534,0.0819,0.0,2975,744,"{""weights"": ""uniform"", ""n_neighbors"": 11, ""metric"": ""euclidean""}"
unknown,v3,2026-03-22T05:30:13.691198+00:00,xgboost,0.5234,0.6084,0.5942,0.7634,,,3689021.3871,2511356.3384,0.0519,0.1692,0.0554,2975,744,"{""subsample"": 1.0, ""reg_lambda"": 2.0, ""reg_alpha"": 0.1, ""n_estimators"": 200, ""max_depth"": 4, ""learning_rate"": 0.1, ""colsample_bytree"": 0.8}"
unknown,v3,2026-03-22T05:30:13.691198+00:00,gradient_boosting,0.4949,0.6095,0.5672,0.7633,,,3809808.6091,2560127.8633,0.0516,0.1961,0.0769,2975,744,"{""subsample"": 0.8, ""n_estimators"": 300, ""min_samples_leaf"": 1, ""max_depth"": 4, ""learning_rate"": 0.05}"
unknown,v3,2026-03-22T05:30:13.691198+00:00,elastic_net,0.4934,0.4792,0.4868,0.4832,,,4148530.621,2941856.6144,0.0461,-0.0036,0.0,2975,744,"{""l1_ratio"": 0.7, ""alpha"": 0.001}"
unknown,v3,2026-03-22T05:30:13.691198+00:00,lasso,0.4932,0.4791,0.485,0.4839,,,4155783.7585,2947851.2642,0.0459,-0.0012,0.0,2975,744,"{""alpha"": 10.0}"
unknown,v3,2026-03-22T05:30:13.691198+00:00,linear_regression,0.4904,0.4874,0.4838,0.5003,,,4160865.8054,2908904.2825,0.0492,0.0165,0.0,2975,744,{}
unknown,v3,2026-03-22T05:30:13.691198+00:00,ridge,0.487,0.4753,0.4891,0.4775,,,4139448.2117,2932684.5447,0.0487,-0.0116,0.0,2975,744,"{""alpha"": 10.0}"
unknown,v3,2026-03-22T05:30:13.691198+00:00,decision_tree,0.2905,0.4215,0.3414,0.5224,,,4699684.4973,3104741.2365,0.0789,0.181,0.0648,2975,744,"{""min_samples_split"": 2, ""min_samples_leaf"": 10, ""max_depth"": 8, ""ccp_alpha"": 0.005}"
unknown,v3,2026-03-22T05:30:13.691198+00:00,svm,0.0924,-0.068,-0.0979,-0.0663,,,6067885.568,3851251.9976,0.0221,0.0316,0.0,2975,744,{}
